<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBS,20150821,2.3000,2.3000,2.1000,2.3000,223305,2.3000,2.3000,2.1000,2.3000,0,0,0
SBS,20150820,2.4000,2.4000,2.2000,2.3000,56200,2.4000,2.4000,2.2000,2.3000,0,0,0
SBS,20150819,2.4000,2.4000,2.3000,2.4000,108800,2.4000,2.4000,2.3000,2.4000,0,0,0
SBS,20150818,2.4000,2.5000,2.4000,2.5000,27920,2.4000,2.5000,2.4000,2.5000,0,0,0
SBS,20150817,2.5000,2.5000,2.4000,2.5000,75620,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150814,2.5000,2.5000,2.4000,2.5000,120630,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150813,2.6000,2.6000,2.5000,2.6000,125100,2.6000,2.6000,2.5000,2.6000,0,0,0
SBS,20150812,2.6000,2.6000,2.5000,2.6000,57505,2.6000,2.6000,2.5000,2.6000,0,0,0
SBS,20150811,2.8000,2.8000,2.6000,2.6000,443000,2.8000,2.8000,2.6000,2.6000,0,0,0
SBS,20150810,2.6000,2.7000,2.6000,2.7000,287200,2.6000,2.7000,2.6000,2.7000,0,0,0
SBS,20150807,2.7000,2.7000,2.6000,2.7000,45620,2.7000,2.7000,2.6000,2.7000,0,0,0
SBS,20150806,2.7000,2.8000,2.6000,2.7000,387826,2.7000,2.8000,2.6000,2.7000,0,0,0
SBS,20150805,2.6000,2.8000,2.6000,2.7000,167514,2.6000,2.8000,2.6000,2.7000,0,0,0
SBS,20150804,2.6000,2.7000,2.6000,2.6000,86900,2.6000,2.7000,2.6000,2.6000,0,0,0
SBS,20150803,2.8000,2.8000,2.6000,2.7000,215322,2.8000,2.8000,2.6000,2.7000,90,0,0
SBS,20150731,2.8000,3.1000,2.7000,2.8000,479700,2.8000,3.1000,2.7000,2.8000,0,0,0
SBS,20150730,2.5000,2.8000,2.5000,2.8000,649200,2.5000,2.8000,2.5000,2.8000,0,0,0
SBS,20150729,2.5000,2.5000,2.4000,2.5000,183900,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150728,2.5000,2.5000,2.4000,2.5000,83300,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150727,2.4000,2.5000,2.4000,2.5000,41800,2.4000,2.5000,2.4000,2.5000,0,0,0
SBS,20150724,2.5000,2.5000,2.4000,2.5000,24058,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150723,2.4000,2.5000,2.4000,2.5000,230310,2.4000,2.5000,2.4000,2.5000,0,0,0
SBS,20150722,2.4000,2.5000,2.3000,2.4000,107800,2.4000,2.5000,2.3000,2.4000,0,0,0
SBS,20150721,2.4000,2.5000,2.4000,2.5000,102000,2.4000,2.5000,2.4000,2.5000,390000,0,0
SBS,20150720,2.5000,2.5000,2.4000,2.5000,158500,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150717,2.5000,2.6000,2.5000,2.6000,414506,2.5000,2.6000,2.5000,2.6000,0,0,0
SBS,20150716,2.5000,2.5000,2.4000,2.5000,191000,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150715,2.6000,2.6000,2.3000,2.5000,236950,2.6000,2.6000,2.3000,2.5000,0,0,0
SBS,20150714,2.7000,2.7000,2.4000,2.7000,483000,2.7000,2.7000,2.4000,2.7000,0,0,0
SBS,20150713,2.7000,2.8000,2.6000,2.7000,92500,2.7000,2.8000,2.6000,2.7000,0,0,0
SBS,20150710,2.7000,2.8000,2.6000,2.8000,267750,2.7000,2.8000,2.6000,2.8000,0,0,0
SBS,20150709,2.7000,2.7000,2.5000,2.7000,195200,2.7000,2.7000,2.5000,2.7000,0,5000,0
SBS,20150708,2.8000,2.8000,2.6000,2.7000,245500,2.8000,2.8000,2.6000,2.7000,0,13000,0
SBS,20150707,2.8000,2.8000,2.7000,2.8000,535200,2.8000,2.8000,2.7000,2.8000,0,0,0
SBS,20150706,2.8000,2.9000,2.8000,2.8000,418866,2.8000,2.9000,2.8000,2.8000,0,0,0
SBS,20150703,2.8000,2.8000,2.7000,2.8000,324064,2.8000,2.8000,2.7000,2.8000,0,0,0
SBS,20150702,2.9000,2.9000,2.7000,2.8000,238900,2.9000,2.9000,2.7000,2.8000,0,0,0
SBS,20150701,2.8000,2.9000,2.7000,2.8000,273920,2.8000,2.9000,2.7000,2.8000,0,0,0
SBS,20150630,2.9000,3.0000,2.7000,2.8000,726200,2.9000,3.0000,2.7000,2.8000,0,0,0
SBS,20150629,2.9000,3.0000,2.8000,3.0000,290800,2.9000,3.0000,2.8000,3.0000,0,0,0
SBS,20150626,2.9000,3.0000,2.8000,2.9000,570668,2.9000,3.0000,2.8000,2.9000,0,0,0
SBS,20150625,2.8000,2.9000,2.8000,2.9000,330110,2.8000,2.9000,2.8000,2.9000,66,0,0
SBS,20150624,2.9000,3.0000,2.8000,2.9000,510590,2.9000,3.0000,2.8000,2.9000,0,0,0
SBS,20150623,2.8000,3.0000,2.8000,2.9000,477300,2.8000,3.0000,2.8000,2.9000,0,0,0
SBS,20150622,3.1000,3.1000,2.8000,3.0000,500400,3.1000,3.1000,2.8000,3.0000,0,0,0
SBS,20150619,3.0000,3.2000,3.0000,3.1000,797630,3.0000,3.2000,3.0000,3.1000,0,0,0
SBS,20150618,2.9000,3.1000,2.9000,3.0000,783801,2.9000,3.1000,2.9000,3.0000,0,0,0
SBS,20150617,3.0000,3.1000,2.9000,2.9000,1162740,3.0000,3.1000,2.9000,2.9000,0,0,0
SBS,20150616,3.4000,3.4000,3.0000,3.0000,805160,3.4000,3.4000,3.0000,3.0000,0,0,0
SBS,20150615,3.1000,3.1000,3.0000,3.1000,1099833,3.1000,3.1000,3.0000,3.1000,0,0,0
SBS,20150612,2.7000,2.9000,2.7000,2.9000,1710210,2.7000,2.9000,2.7000,2.9000,7000,0,0
SBS,20150611,2.8000,2.8000,2.6000,2.7000,440400,2.8000,2.8000,2.6000,2.7000,0,0,0
SBS,20150610,2.6000,2.8000,2.6000,2.7000,176810,2.6000,2.8000,2.6000,2.7000,0,0,0
SBS,20150609,2.8000,2.8000,2.6000,2.7000,448610,2.8000,2.8000,2.6000,2.7000,0,0,0
SBS,20150608,2.8000,2.9000,2.7000,2.8000,819956,2.8000,2.9000,2.7000,2.8000,0,0,0
SBS,20150605,2.7000,2.8000,2.7000,2.7000,569700,2.7000,2.8000,2.7000,2.7000,0,0,0
SBS,20150604,2.9000,2.9000,2.7000,2.8000,284246,2.9000,2.9000,2.7000,2.8000,0,0,0
